dc.title,dc.date.issued
"Puri, A., Cruijssen, F. & Leunissen, I. The Invisible Backpack: a Techno-Ethical Analysis of the Stigma and Shame Associated with Accessing Food Banks in the Netherlands",2026-12
"The Metaphysics of the Nay: Sound, Breath, and Relational Being in Avni Konuk’s Commentary on Rūmī",2026-12-01
Corporate control and tort liability in global value chains,2026-06-01
The about logic podcast,2026-04-22
National security and international economic law: Restoring balance,2026-04
"Tyrants, Heroes, Prophets, and Martyrs: Shifting Images from the Past to the Present",2026-04
"Nun sag, Pastoral(theologie), wie hältst Du`s mit der Religion?: Eine Spurensuche",2026-03-15
"Exploring the links between dissociative experiences, schemas, modes, and coping",2026-03
Learning asymmetry as a predictor of mood and behavior dynamics: A network analysis,2026-03
Wenn die Frage nach Gott vergessen ist und nichts fehlt: Religiöse Bildung vor neuen Prämissen,2026-03-01
"Die Debatte geht weiter: Religiöse Indifferenz, ein komplexes religiöses Feld und die Konsequenzen",2026-03-01
From strong ties to no ties: Configurations for first-customer acquisition in tech startups,2026-03
"Die Sendung der Kirche in einer säkularen Gesellschaft - Kirche als ""Sakrament"" heute?: Ein Gespräch",2026-02-15
Adverse effects of eye movement desensitization and reprocessing therapy: A neglected but urgent area of inquiry,2026-02
Do teams alleviate or exacerbate overreaction in beliefs?,2026-02
The interplay between poverty and the human brain connectome across the lifespan: A systematic review,2026-02
Religious Education in the Netherlands,2026-02-01
The classical doctrine of civil war in international law,2026-01-31
Wiener-type invariants of pancyclicity for<i> t</i>-tough graphs,2026-01-30
An introduction to contemporary Italian thought: From posthumanism to cyberfascism,2026-01-22
Regulatory strategies for energy and finance: Sustainability in a digitalised world,2026-01-08
An exploration of the potential use of service robots among millennials and Gen Z’s in nature-based tourism destinations,2026-01-06
Corporate Litigation in Specialized Business Courts,2026-01-06
Nederlanders onderschatten hun levensverwachting,2026-01-05
High involvement work practices and employee well-being in the public sector: Does public values-focused transactional leadership make a difference?,2026-01-05
Social Robots as Creative Partners: Comparing Large Language Models with Wizard-of-Oz in Human-Robot Brainstorming,2026-01-02
Fans and fanaticism: the vulnerability of devotion and sportswashing as exploitation,2026-01-02
De Hoge Raad had duidelijker moeten zijn,2026-01-02
Más allá de un catolicismo eurocéntrico,2026
Pedagogies of the Present: Reimagining future-oriented education in times of climate change,2026
"Rose rand: Logic, exile and archives: Articles on the history of contemporary philosophy",2026
