dc.title,dc.date.issued,dc.identifier.pure,dc.identifier.uri
"Puri, A., Cruijssen, F. & Leunissen, I. The Invisible Backpack: a Techno-Ethical Analysis of the Stigma and Shame Associated with Accessing Food Banks in the Netherlands",2026-12,125371131,https://hdl.handle.net/20.500.14602/104476
"The Metaphysics of the Nay: Sound, Breath, and Relational Being in Avni Konuk’s Commentary on Rūmī",2026-12-01,124550256,https://hdl.handle.net/20.500.14602/104099
Corporate control and tort liability in global value chains,2026-06-01,125075522,https://hdl.handle.net/20.500.14602/104411
The about logic podcast,2026-04-22,124463557,https://hdl.handle.net/20.500.14602/104069
National security and international economic law: Restoring balance,2026-04,113127764,https://hdl.handle.net/20.500.14602/101578
"Tyrants, Heroes, Prophets, and Martyrs: Shifting Images from the Past to the Present",2026-04,86155069,https://hdl.handle.net/20.500.14602/104520
"Nun sag, Pastoral(theologie), wie hältst Du`s mit der Religion?: Eine Spurensuche",2026-03-15,122901104,https://hdl.handle.net/20.500.14602/103617
"Exploring the links between dissociative experiences, schemas, modes, and coping",2026-03,121101313,https://hdl.handle.net/20.500.14602/103028
Learning asymmetry as a predictor of mood and behavior dynamics: A network analysis,2026-03,122068133,https://hdl.handle.net/20.500.14602/103347
Wenn die Frage nach Gott vergessen ist und nichts fehlt: Religiöse Bildung vor neuen Prämissen,2026-03-01,122899479,https://hdl.handle.net/20.500.14602/103606
"Die Debatte geht weiter: Religiöse Indifferenz, ein komplexes religiöses Feld und die Konsequenzen",2026-03-01,122899441,https://hdl.handle.net/20.500.14602/103605
From strong ties to no ties: Configurations for first-customer acquisition in tech startups,2026-03,124815132,https://hdl.handle.net/20.500.14602/104275
"Die Sendung der Kirche in einer säkularen Gesellschaft - Kirche als ""Sakrament"" heute?: Ein Gespräch",2026-02-15,122900529,https://hdl.handle.net/20.500.14602/103614
Adverse effects of eye movement desensitization and reprocessing therapy: A neglected but urgent area of inquiry,2026-02,122440297,https://hdl.handle.net/20.500.14602/103520
Do teams alleviate or exacerbate overreaction in beliefs?,2026-02,123498567,https://hdl.handle.net/20.500.14602/103806
The interplay between poverty and the human brain connectome across the lifespan: A systematic review,2026-02,125069825,https://hdl.handle.net/20.500.14602/104399
Religious Education in the Netherlands,2026-02-01,121806101,https://hdl.handle.net/20.500.14602/103184
The classical doctrine of civil war in international law,2026-01-31,114089228,https://hdl.handle.net/20.500.14602/103764
Wiener-type invariants of pancyclicity for<i> t</i>-tough graphs,2026-01-30,124747335,https://hdl.handle.net/20.500.14602/104237
An introduction to contemporary Italian thought: From posthumanism to cyberfascism,2026-01-22,120422117,https://hdl.handle.net/20.500.14602/102897
Regulatory strategies for energy and finance: Sustainability in a digitalised world,2026-01-08,113127834,https://hdl.handle.net/20.500.14602/101580
An exploration of the potential use of service robots among millennials and Gen Z’s in nature-based tourism destinations,2026-01-06,125394336,https://hdl.handle.net/20.500.14602/104478
Corporate Litigation in Specialized Business Courts,2026-01-06,64416071,https://hdl.handle.net/20.500.14602/24650
Nederlanders onderschatten hun levensverwachting,2026-01-05,125396947,https://hdl.handle.net/20.500.14602/104481
High involvement work practices and employee well-being in the public sector: Does public values-focused transactional leadership make a difference?,2026-01-05,125398842,https://hdl.handle.net/20.500.14602/104487
